month;day;Seasonality;expert;standard;rookie;season-expert;season-standard;season-rookie
10;1;0.888888889;11;13;4;10;12;4
10;2;0.916666667;11;13;4;10;12;4
10;3;0.972222222;11;13;4;11;13;4
10;4;0.972222222;11;13;4;11;13;4
10;5;0.944444444;11;13;4;10;12;4
10;6;0.972222222;11;13;4;11;13;4
10;7;0.972222222;11;13;4;11;13;4
10;8;0.972222222;11;13;4;11;13;4
10;9;0.972222222;11;13;4;11;13;4
10;10;0.972222222;11;13;4;11;13;4
10;11;0.972222222;11;13;4;11;13;4
10;12;0.972222222;11;13;4;11;13;4
10;13;0.944444444;11;13;4;10;12;4
10;14;0.972222222;11;13;4;11;13;4
10;15;0.972222222;11;13;4;11;13;4
10;16;0.972222222;11;13;4;11;13;4
10;17;0.972222222;11;13;4;11;13;4
10;18;0.972222222;11;13;4;11;13;4
10;19;0.972222222;11;13;4;11;13;4
10;20;0.944444444;11;13;4;10;12;4
10;21;0.972222222;11;13;4;11;13;4
10;22;0.972222222;11;13;4;11;13;4
10;23;0.972222222;11;13;4;11;13;4
10;24;0.972222222;11;13;4;11;13;4
10;25;0.972222222;11;13;4;11;13;4
10;26;0.944444444;11;13;4;10;12;4
10;27;0.944444444;11;13;4;10;12;4
10;28;0.888888889;11;13;4;10;12;4
10;29;0.916666667;11;13;4;10;12;4
10;30;0.916666667;11;13;4;10;12;4
10;31;0.972222222;11;13;4;11;13;4
11;1;0.972222222;11;13;4;11;13;4
11;2;0.888888889;11;13;4;10;12;4
11;3;0.861111111;11;13;4;9;11;3
11;4;0.861111111;11;13;4;9;11;3
11;5;0.861111111;11;13;4;9;11;3
11;6;0.861111111;11;13;4;9;11;3
11;7;0.944444444;11;13;4;10;12;4
11;8;0.944444444;11;13;4;10;12;4
11;9;0.944444444;11;13;4;10;12;4
11;10;0.944444444;11;13;4;10;12;4
11;11;0.972222222;11;13;4;11;13;4
11;12;0.972222222;11;13;4;11;13;4
11;13;0.944444444;11;13;4;10;12;4
11;14;0.972222222;11;13;4;11;13;4
11;15;0.972222222;11;13;4;11;13;4
11;16;0.972222222;11;13;4;11;13;4
11;17;0.972222222;11;13;4;11;13;4
11;18;0.944444444;11;13;4;10;12;4
11;19;0.944444444;11;13;4;10;12;4
11;20;0.972222222;11;13;4;11;13;4
11;21;0.972222222;11;13;4;11;13;4
11;22;0.972222222;11;13;4;11;13;4
11;23;0.972222222;11;13;4;11;13;4
11;24;0.972222222;11;13;4;11;13;4
11;25;0.972222222;11;13;4;11;13;4
11;26;0.972222222;11;13;4;11;13;4
11;27;0.972222222;11;13;4;11;13;4
11;28;0.972222222;11;13;4;11;13;4
11;29;0.972222222;11;13;4;11;13;4
11;30;0.972222222;11;13;4;11;13;4
12;1;0.972222222;11;13;4;11;13;4
12;2;0.972222222;11;13;4;11;13;4
12;3;0.972222222;11;13;4;11;13;4
12;4;0.972222222;11;13;4;11;13;4
12;5;0.972222222;11;13;4;11;13;4
12;6;0.972222222;11;13;4;11;13;4
12;7;0.916666667;11;13;4;10;12;4
12;8;0.916666667;11;13;4;10;12;4
12;9;0.944444444;11;13;4;10;12;4
12;10;0.916666667;11;13;4;10;12;4
12;11;0.916666667;11;13;4;10;12;4
12;12;0.972222222;11;13;4;11;13;4
12;13;0.972222222;11;13;4;11;13;4
12;14;0.972222222;11;13;4;11;13;4
12;15;0.972222222;11;13;4;11;13;4
12;16;0.944444444;11;13;4;10;12;4
12;17;0.972222222;11;13;4;11;13;4
12;18;0.972222222;11;13;4;11;13;4
12;19;0.972222222;11;13;4;11;13;4
12;20;0.972222222;11;13;4;11;13;4
12;21;0.861111111;11;13;4;9;11;3
12;22;0.861111111;11;13;4;9;11;3
12;23;0.722222222;11;13;4;8;9;3
12;24;0.888888889;11;13;4;10;12;4
12;25;0.888888889;11;13;4;10;12;4
12;26;0.888888889;11;13;4;10;12;4
12;27;0.888888889;11;13;4;10;12;4
12;28;0.722222222;11;13;4;8;9;3
12;29;0.805555556;11;13;4;9;10;3
12;30;0.805555556;11;13;4;9;10;3
12;31;0.777777778;11;13;4;9;10;3
1;1;0.916666667;11;13;4;10;12;4
1;2;0.916666667;11;13;4;10;12;4
1;3;0.916666667;11;13;4;10;12;4
1;4;0.861111111;11;13;4;9;11;3
1;5;0.861111111;11;13;4;9;11;3
1;6;0.888888889;11;13;4;10;12;4
1;7;0.75;11;13;4;8;10;3
1;8;0.75;11;13;4;8;10;3
1;9;0.944444444;11;13;4;10;12;4
1;10;0.944444444;11;13;4;10;12;4
1;11;0.916666667;11;13;4;10;12;4
1;12;0.916666667;11;13;4;10;12;4
1;13;0.944444444;11;13;4;10;12;4
1;14;0.944444444;11;13;4;10;12;4
1;15;0.888888889;11;13;4;10;12;4
1;16;0.944444444;11;13;4;10;12;4
1;17;0.944444444;11;13;4;10;12;4
1;18;0.944444444;11;13;4;10;12;4
1;19;0.916666667;11;13;4;10;12;4
1;20;0.861111111;11;13;4;9;11;3
1;21;0.861111111;11;13;4;9;11;3
1;22;0.777777778;11;13;4;9;10;3
1;23;0.944444444;11;13;4;10;12;4
1;24;0.944444444;11;13;4;10;12;4
1;25;0.888888889;11;13;4;10;12;4
1;26;0.861111111;11;13;4;9;11;3
1;27;0.861111111;11;13;4;9;11;3
1;28;0.888888889;11;13;4;10;12;4
1;29;0.861111111;11;13;4;9;11;3
1;30;0.944444444;11;13;4;10;12;4
1;31;0.944444444;11;13;4;10;12;4
2;1;0.916666667;11;13;4;10;12;4
2;2;0.916666667;11;13;4;10;12;4
2;3;0.888888889;11;13;4;10;12;4
2;4;0.861111111;11;13;4;9;11;3
2;5;0.777777778;11;13;4;9;10;3
2;6;0.916666667;11;13;4;10;12;4
2;7;0.916666667;11;13;4;10;12;4
2;8;0.916666667;11;13;4;10;12;4
2;9;0.944444444;11;13;4;10;12;4
2;10;0.944444444;11;13;4;10;12;4
2;11;0.944444444;11;13;4;10;12;4
2;12;0.888888889;11;13;4;10;12;4
2;13;0.944444444;11;13;4;10;12;4
2;14;0.944444444;11;13;4;10;12;4
2;15;0.861111111;11;13;4;9;11;3
2;16;0.861111111;11;13;4;9;11;3
2;17;0.833333333;11;13;4;9;11;3
2;18;0.861111111;11;13;4;9;11;3
2;19;0.833333333;11;13;4;9;11;3
2;20;0.944444444;11;13;4;10;12;4
2;21;0.916666667;11;13;4;10;12;4
2;22;0.861111111;11;13;4;9;11;3
2;23;0.944444444;11;13;4;10;12;4
2;24;0.944444444;11;13;4;10;12;4
2;25;0.944444444;11;13;4;10;12;4
2;26;0.888888889;11;13;4;10;12;4
2;27;0.916666667;11;13;4;10;12;4
2;28;0.916666667;11;13;4;10;12;4
3;1;0.861111111;11;13;4;9;11;3
3;2;0.888888889;11;13;4;10;12;4
3;3;0.916666667;11;13;4;10;12;4
3;4;0.916666667;11;13;4;10;12;4
3;5;0.916666667;11;13;4;10;12;4
3;6;0.916666667;11;13;4;10;12;4
3;7;0.916666667;11;13;4;10;12;4
3;8;0.888888889;11;13;4;10;12;4
3;9;0.888888889;11;13;4;10;12;4
3;10;0.861111111;11;13;4;9;11;3
3;11;0.888888889;11;13;4;10;12;4
3;12;0.861111111;11;13;4;9;11;3
3;13;0.944444444;11;13;4;10;12;4
3;14;0.944444444;11;13;4;10;12;4
3;15;0.916666667;11;13;4;10;12;4
3;16;0.888888889;11;13;4;10;12;4
3;17;0.861111111;11;13;4;9;11;3
3;18;0.861111111;11;13;4;9;11;3
3;19;0.916666667;11;13;4;10;12;4
3;20;0.944444444;11;13;4;10;12;4
3;21;0.944444444;11;13;4;10;12;4
3;22;0.916666667;11;13;4;10;12;4
3;23;0.944444444;11;13;4;10;12;4
3;24;0.944444444;11;13;4;10;12;4
3;25;0.916666667;11;13;4;10;12;4
3;26;0.777777778;11;13;4;9;10;3
3;27;0.944444444;11;13;4;10;12;4
3;28;0.944444444;11;13;4;10;12;4
3;29;0.888888889;11;13;4;10;12;4
3;30;0.833333333;11;13;4;9;11;3
3;31;0.833333333;11;13;4;9;11;3
4;1;0.805555556;11;13;4;9;10;3
4;2;0.805555556;11;13;4;9;10;3
4;3;0.888888889;11;13;4;10;12;4
4;4;0.888888889;11;13;4;10;12;4
4;5;0.888888889;11;13;4;10;12;4
4;6;0.777777778;11;13;4;9;10;3
4;7;0.833333333;11;13;4;9;11;3
4;8;0.833333333;11;13;4;9;11;3
4;9;0.805555556;11;13;4;9;10;3
4;10;0.916666667;11;13;4;10;12;4
4;11;0.916666667;11;13;4;10;12;4
4;12;0.888888889;11;13;4;10;12;4
4;13;0.833333333;11;13;4;9;11;3
4;14;0.833333333;11;13;4;9;11;3
4;15;0.833333333;11;13;4;9;11;3
4;16;0.805555556;11;13;4;9;10;3
4;17;0.888888889;11;13;4;10;12;4
4;18;0.888888889;11;13;4;10;12;4
4;19;0.833333333;11;13;4;9;11;3
4;20;0.861111111;11;13;4;9;11;3
4;21;0.861111111;11;13;4;9;11;3
4;22;0.888888889;11;13;4;10;12;4
4;23;0.861111111;11;13;4;9;11;3
4;24;0.916666667;11;13;4;10;12;4
4;25;0.916666667;11;13;4;10;12;4
4;26;0.833333333;11;13;4;9;11;3
4;27;0.833333333;11;13;4;9;11;3
4;28;0.861111111;11;13;4;9;11;3
4;29;0.833333333;11;13;4;9;11;3
4;30;0.805555556;11;13;4;9;10;3
5;1;0.861111111;11;13;4;9;11;3
5;2;0.861111111;11;13;4;9;11;3
5;3;0.888888889;11;13;4;10;12;4
5;4;0.833333333;11;13;4;9;11;3
5;5;0.861111111;11;13;4;9;11;3
5;6;0.833333333;11;13;4;9;11;3
5;7;0.805555556;11;13;4;9;10;3
5;8;0.805555556;11;13;4;10;12;4
5;9;0.805555556;11;13;4;10;12;4
5;10;0.805555556;11;13;4;10;12;4
5;11;0.805555556;11;13;4;10;12;4
5;12;0.805555556;11;13;4;10;12;4
5;13;0.805555556;11;13;4;10;12;4
5;14;0.805555556;11;13;4;10;12;4
5;15;0.805555556;11;13;4;10;12;4
5;16;0.805555556;11;13;4;10;12;4
5;17;0.805555556;11;13;4;10;12;4
5;18;0.805555556;11;13;4;10;12;4
5;19;0.805555556;11;13;4;10;12;4
5;20;0.805555556;11;13;4;10;12;4
5;21;0.805555556;11;13;4;10;12;4
5;22;0.805555556;11;13;4;10;12;4
5;23;0.805555556;11;13;4;10;12;4
5;24;0.805555556;11;13;4;10;12;4
5;25;0.805555556;11;13;4;10;12;4
5;26;0.805555556;11;13;4;10;12;4
5;27;0.805555556;11;13;4;10;12;4
5;28;0.805555556;11;13;4;10;12;4
5;29;0.805555556;11;13;4;10;12;4
5;30;0.805555556;11;13;4;10;12;4
5;31;0.805555556;11;13;4;10;12;4
6;1;0.805555556;11;13;4;10;12;4
6;2;0.805555556;11;13;4;10;12;4
6;3;0.805555556;11;13;4;10;12;4
6;4;0.805555556;11;13;4;10;12;4
6;5;0.805555556;11;13;4;10;12;4
6;6;0.805555556;11;13;4;10;12;4
6;7;0.805555556;11;13;4;10;12;4
6;8;0.805555556;11;13;4;10;12;4
6;9;0.805555556;11;13;4;10;12;4
6;10;0.805555556;11;13;4;10;12;4
6;11;0.805555556;11;13;4;10;12;4
6;12;0.805555556;11;13;4;10;12;4
6;13;0.805555556;11;13;4;10;12;4
6;14;0.805555556;11;13;4;10;12;4
6;15;0.805555556;11;13;4;10;12;4
6;16;0.805555556;11;13;4;10;12;4
6;17;0.805555556;11;13;4;10;12;4
6;18;0.805555556;11;13;4;10;12;4
6;19;0.805555556;11;13;4;10;12;4
6;20;0.805555556;11;13;4;10;12;4
6;21;0.805555556;11;13;4;10;12;4
6;22;0.805555556;11;13;4;10;12;4
6;23;0.805555556;11;13;4;10;12;4
6;24;0.805555556;11;13;4;10;12;4
6;25;0.805555556;11;13;4;10;12;4
6;26;0.805555556;11;13;4;10;12;4
6;27;0.805555556;11;13;4;10;12;4
6;28;0.805555556;11;13;4;10;12;4
6;29;0.805555556;11;13;4;10;12;4
6;30;0.805555556;11;13;4;10;12;4
7;1;0.805555556;11;13;4;10;12;4
7;2;0.805555556;11;13;4;10;12;4
7;3;0.805555556;11;13;4;10;12;4
7;4;0.805555556;11;13;4;10;12;4
7;5;0.805555556;11;13;4;10;12;4
7;6;0.805555556;11;13;4;10;12;4
7;7;0.805555556;11;13;4;10;12;4
7;8;0.805555556;11;13;4;10;12;4
7;9;0.805555556;11;13;4;10;12;4
7;10;0.805555556;11;13;4;10;12;4
7;11;0.805555556;11;13;4;10;12;4
7;12;0.805555556;11;13;4;10;12;4
7;13;0.805555556;11;13;4;10;12;4
7;14;0.805555556;11;13;4;10;12;4
7;15;0.805555556;11;13;4;10;12;4
7;16;0.805555556;11;13;4;10;12;4
7;17;0.805555556;11;13;4;10;12;4
7;18;0.805555556;11;13;4;10;12;4
7;19;0.805555556;11;13;4;10;12;4
7;20;0.805555556;11;13;4;10;12;4
7;21;0.805555556;11;13;4;10;12;4
7;22;0.805555556;11;13;4;10;12;4
7;23;0.805555556;11;13;4;10;12;4
7;24;0.805555556;11;13;4;10;12;4
7;25;0.805555556;11;13;4;10;12;4
7;26;0.805555556;11;13;4;10;12;4
7;27;0.805555556;11;13;4;10;12;4
7;28;0.805555556;11;13;4;10;12;4
7;29;0.805555556;11;13;4;10;12;4
7;30;0.805555556;11;13;4;10;12;4
7;31;0.805555556;11;13;4;10;12;4
8;1;0.805555556;11;13;4;10;12;4
8;2;0.805555556;11;13;4;10;12;4
8;3;0.805555556;11;13;4;10;12;4
8;4;0.805555556;11;13;4;10;12;4
8;5;0.805555556;11;13;4;10;12;4
8;6;0.805555556;11;13;4;10;12;4
8;7;0.805555556;11;13;4;10;12;4
8;8;0.805555556;11;13;4;10;12;4
8;9;0.805555556;11;13;4;10;12;4
8;10;0.805555556;11;13;4;10;12;4
8;11;0.805555556;11;13;4;10;12;4
8;12;0.805555556;11;13;4;10;12;4
8;13;0.805555556;11;13;4;10;12;4
8;14;0.805555556;11;13;4;10;12;4
8;15;0.805555556;11;13;4;10;12;4
8;16;0.805555556;11;13;4;10;12;4
8;17;0.805555556;11;13;4;10;12;4
8;18;0.805555556;11;13;4;10;12;4
8;19;0.805555556;11;13;4;10;12;4
8;20;0.805555556;11;13;4;10;12;4
8;21;0.805555556;11;13;4;10;12;4
8;22;0.805555556;11;13;4;10;12;4
8;23;0.805555556;11;13;4;10;12;4
8;24;0.805555556;11;13;4;10;12;4
8;25;0.805555556;11;13;4;10;12;4
8;26;0.805555556;11;13;4;10;12;4
8;27;0.805555556;11;13;4;10;12;4
8;28;0.805555556;11;13;4;10;12;4
8;29;0.805555556;11;13;4;10;12;4
8;30;0.805555556;11;13;4;10;12;4
8;31;0.805555556;11;13;4;10;12;4
9;1;0.805555556;11;13;4;10;12;4
9;2;0.805555556;11;13;4;10;12;4
9;3;0.805555556;11;13;4;10;12;4
9;4;0.805555556;11;13;4;10;12;4
9;5;0.805555556;11;13;4;10;12;4
9;6;0.805555556;11;13;4;10;12;4
9;7;0.805555556;11;13;4;10;12;4
9;8;0.805555556;11;13;4;10;12;4
9;9;0.805555556;11;13;4;10;12;4
9;10;0.805555556;11;13;4;10;12;4
9;11;0.805555556;11;13;4;10;12;4
9;12;0.805555556;11;13;4;10;12;4
9;13;0.805555556;11;13;4;10;12;4
9;14;0.805555556;11;13;4;10;12;4
9;15;0.805555556;11;13;4;10;12;4
9;16;0.805555556;11;13;4;10;12;4
9;17;0.805555556;11;13;4;10;12;4
9;18;0.805555556;11;13;4;10;12;4
9;19;0.805555556;11;13;4;10;12;4
9;20;0.805555556;11;13;4;10;12;4
