month;day;Seasonality
1;1;0,405339806
1;2;1,191747573
1;3;1,072815534
1;4;0,075242718
1;5;0,04368932
1;6;1,109223301
1;7;1,708737864
1;8;1,888349515
1;9;1,800970874
1;10;1,830097087
1;11;0,012135922
1;12;0,033980583
1;13;1,92961165
1;14;1,92961165
1;15;2,082524272
1;16;2,050970874
1;17;2,148058252
1;18;0,077669903
1;19;0,019417476
1;20;2,165048544
1;21;1,992718447
1;22;1,958737864
1;23;2,007281553
1;24;1,72815534
1;25;0,009708738
1;26;0,029126214
1;27;2
1;28;2,169902913
1;29;2,376213592
1;30;2,072815534
1;31;2,138349515
2;1;0,354368932
2;2;0,036407767
2;3;1,973300971
2;4;1,953883495
2;5;1,881067961
2;6;1,934466019
2;7;1,75
2;8;0,024271845
2;9;0,029126214
2;10;1,859223301
2;11;1,898058252
2;12;1,61407767
2;13;1,92961165
2;14;1,424757282
2;15;0,016990291
2;16;0,012135922
2;17;2,026699029
2;18;1,910194175
2;19;1,915048544
2;20;1,640776699
2;21;1,509708738
2;22;0,026699029
2;23;0,065533981
2;24;1,77184466
2;25;2,072815534
2;26;1,682038835
2;27;1,682038835
2;28;1,524271845
2;29;0,060679612
3;1;0,291262136
3;2;1,652912621
3;3;1,563106796
3;4;1,633495146
3;5;1,890776699
3;6;1,388349515
3;7;0,024271845
3;8;0,055825243
3;9;1,667475728
3;10;1,565533981
3;11;1,70631068
3;12;1,533980583
3;13;1,140776699
3;14;0,046116505
3;15;0,016990291
3;16;1,182038835
3;17;1,194174757
3;18;1,201456311
3;19;1,247572816
3;20;0,934466019
3;21;0,014563107
3;22;0,02184466
3;23;1,007281553
3;24;1,087378641
3;25;0,980582524
3;26;0,961165049
3;27;0,75
3;28;0,012135922
3;29;0,033980583
3;30;1,031553398
3;31;0,868932039
4;1;1,126213592
4;2;0,868932039
4;3;0,888349515
4;4;0,002427184
4;5;0,033980583
4;6;0,77184466
4;7;0,716019417
4;8;0,633495146
4;9;0,686893204
4;10;0,140776699
4;11;0,024271845
4;13;0,055825243
4;14;0,927184466
4;15;0,796116505
4;16;0,919902913
4;17;0,730582524
4;18;0,033980583
4;19;0,014563107
4;20;1,019417476
4;21;1,033980583
4;22;1,02184466
4;23;1,012135922
4;24;0,86407767
4;25;0,009708738
4;26;0,031553398
4;27;0,905339806
4;28;0,987864078
4;29;0,949029126
4;30;0,973300971
5;1;0,419902913
5;2;0,150485437
5;3;0,060679612
5;4;1,002427184
5;5;1,033980583
5;6;1,133495146
5;7;0,97815534
5;8;0,674757282
5;9;0,02184466
5;10;0,031553398
5;11;1,172330097
5;12;1,072815534
5;13;1,373786408
5;14;1,339805825
5;15;0,898058252
5;16;0,007281553
5;17;0,012135922
5;18;1,131067961
5;19;1,121359223
5;20;1,174757282
5;21;0,553398058
5;22;0,655339806
5;23;0,007281553
5;24;0,014563107
5;25;0,881067961
5;26;1,27184466
5;27;1,075242718
5;28;1,09223301
5;29;0,961165049
5;30;0,026699029
5;31;0,007281553
6;1;0,563106796
6;2;0,987864078
6;3;1,313106796
6;4;1,203883495
6;5;1,101941748
6;6;0,007281553
6;7;0,014563107
6;8;1,262135922
6;9;1,220873786
6;10;1,376213592
6;11;1,325242718
6;12;1,067961165
6;13;0,002427184
6;14;0,009708738
6;15;1,300970874
6;16;1,174757282
6;17;1,32038835
6;18;1,240291262
6;19;1,121359223
6;20;0,02184466
6;21;0,012135922
6;22;1,058252427
6;23;1,410194175
6;24;1,128640777
6;25;1,252427184
6;26;1,019417476
6;27;0,012135922
6;28;0,014563107
6;29;1,27184466
6;30;1,337378641
7;1;1,813106796
7;2;1,463592233
7;3;1,082524272
7;4;0,04368932
7;5;0,012135922
7;6;1,502427184
7;7;1,631067961
7;8;1,395631068
7;9;1,402912621
7;10;1,055825243
7;11;0,016990291
7;12;0,031553398
7;13;1,20631068
7;14;1,084951456
7;15;1,269417476
7;16;1,337378641
7;17;1,259708738
7;18;0,009708738
7;19;0,029126214
7;20;1,344660194
7;21;1,400485437
7;22;1,393203883
7;23;1,580097087
7;24;1,133495146
7;25;0,016990291
7;26;0,014563107
7;27;1,36407767
7;28;1,376213592
7;29;1,281553398
7;30;1,288834951
7;31;0,963592233
8;1;0,007281553
8;2;0,012135922
8;3;0,953883495
8;4;1,303398058
8;5;1,441747573
8;6;1,313106796
8;7;1,007281553
8;8;0,012135922
8;9;0,012135922
8;10;0,983009709
8;11;0,961165049
8;12;1,162621359
8;13;1,20631068
8;14;0,847087379
8;15;0,012135922
8;16;0,009708738
8;17;0,871359223
8;18;1,048543689
8;19;1,075242718
8;20;1,599514563
8;21;0,975728155
8;22;0,007281553
8;23;0,014563107
8;24;1,138349515
8;25;1,160194175
8;26;1,325242718
8;27;1,220873786
8;28;0,958737864
8;29;0,004854369
8;30;0,080097087
8;31;1,058252427
9;1;1,565533981
9;2;1,791262136
9;3;1,708737864
9;4;1,475728155
9;5;0,012135922
9;6;0,033980583
9;7;1,660194175
9;8;1,691747573
9;9;1,616504854
9;10;1,871359223
9;11;1,296116505
9;12;0,196601942
9;13;0,038834951
9;14;1,541262136
9;15;1,645631068
9;16;1,757281553
9;17;1,713592233
9;18;1,383495146
9;19;0,111650485
9;20;0,036407767
9;21;1,65776699
9;22;1,803398058
9;23;1,723300971
9;24;1,565533981
9;25;1,597087379
9;26;0,009708738
9;27;0,029126214
9;28;1,667475728
9;29;1,927184466
9;30;1,483009709
10;1;1,589805825
10;2;1,458737864
10;3;0,029126214
10;4;0,04368932
10;5;1,786407767
10;6;2,208737864
10;7;1,77184466
10;8;1,810679612
10;9;1,475728155
10;10;0,041262136
10;11;0,048543689
10;12;1,286407767
10;13;1,92961165
10;14;1,84223301
10;15;1,97815534
10;16;1,388349515
10;17;0,012135922
10;18;0,036407767
10;19;1,742718447
10;20;1,868932039
10;21;1,927184466
10;22;1,677184466
10;23;1,269417476
10;24;0,04368932
10;25;0,065533981
10;26;1,52184466
10;27;1,70631068
10;28;1,558252427
10;29;1,716019417
10;30;1,400485437
10;31;0,012135922
11;1;0,444174757
11;2;1,458737864
11;3;1,730582524
11;4;1,662621359
11;5;1,718446602
11;6;1,432038835
11;7;0,060679612
11;8;0,041262136
11;9;1,54368932
11;10;1,682038835
11;11;1,29368932
11;12;1,881067961
11;13;1,446601942
11;14;0,019417476
11;15;0,029126214
11;16;1,70631068
11;17;1,82038835
11;18;1,686893204
11;19;1,626213592
11;20;1,332524272
11;21;0,012135922
11;22;0,046116505
11;23;1,633495146
11;24;1,837378641
11;25;1,718446602
11;26;1,67961165
11;27;1,283980583
11;28;0,089805825
11;29;0,031553398
11;30;1,529126214
12;1;2,315533981
12;2;2,058252427
12;3;2,012135922
12;4;1,400485437
12;5;0,106796117
12;6;0,026699029
12;7;1,203883495
12;8;1,422330097
12;9;1,800970874
12;10;1,589805825
12;11;1,660194175
12;12;0,04368932
12;13;0,038834951
12;14;1,45631068
12;15;1,628640777
12;16;1,677184466
12;17;1,631067961
12;18;1,233009709
12;19;0,065533981
12;20;0,026699029
12;21;1,140776699
12;22;1,233009709
12;23;1,04368932
12;24;0,441747573
12;25;0,024271845
12;26;0,009708738
12;27;0,012135922
12;28;0,609223301
12;29;0,645631068
12;30;0,546116505
12;31;0,417475728
